<<<<<<< HEAD
-3.14159 -3.14159 0.00108579
-3.14159 -3.07876 0.000144348
-3.14159 -3.01593 0
-3.14159 -2.9531 0
-3.14159 -2.89027 0
-3.14159 -2.82743 0.00084673
-3.14159 -2.7646 0.00321772
-3.14159 -2.70177 0.00485394
-3.14159 -2.63894 0.00495452
-3.14159 -2.57611 0.00356455
-3.14159 -2.51327 0.00159376
-3.14159 -2.45044 0.000378435
-3.14159 -2.38761 0.00104041
-3.14159 -2.32478 0.00400265
-3.14159 -2.26195 0.00896927
-3.14159 -2.19911 0.015484
-3.14159 -2.13628 0.0238573
-3.14159 -2.07345 0.0358799
-3.14159 -2.01062 0.0545537
-3.14159 -1.94779 0.0823738
-3.14159 -1.88496 0.118597
-3.14159 -1.82212 0.157013
-3.14159 -1.75929 0.186163
-3.14159 -1.69646 0.193001
-3.14159 -1.63363 0.168879
-3.14159 -1.5708 0.114738
-3.14159 -1.50796 0.0421618
-3.14159 -1.44513 0
-3.14159 -1.3823 0
-3.14159 -1.31947 0
-3.14159 -1.25664 0
-3.14159 -1.19381 0
-3.14159 -1.13097 0
-3.14159 -1.06814 0
-3.14159 -1.00531 0
-3.14159 -0.942478 0
-3.14159 -0.879646 0
-3.14159 -0.816814 0
-3.14159 -0.753982 0.000396653
-3.14159 -0.69115 0.00507051
-3.14159 -0.628319 0.00308438
-3.14159 -0.565487 0
-3.14159 -0.502655 0
-3.14159 -0.439823 0
-3.14159 -0.376991 0
-3.14159 -0.314159 0.00274842
-3.14159 -0.251327 0.00315436
-3.14159 -0.188496 0.00118445
-3.14159 -0.125664 0
-3.14159 -0.0628319 0
-3.14159 0 0
-3.14159 0.0628319 0.00026726
-3.14159 0.125664 0.00181623
-3.14159 0.188496 0.00182999
-3.14159 0.251327 0.00050466
-3.14159 0.314159 0
-3.14159 0.376991 0
-3.14159 0.439823 0
-3.14159 0.502655 0.000330637
-3.14159 0.565487 0.00116916
-3.14159 0.628319 0.00103478
-3.14159 0.69115 0.000155141
-3.14159 0.753982 0
-3.14159 0.816814 0
-3.14159 0.879646 0
-3.14159 0.942478 0.000331815
-3.14159 1.00531 0.000751003
-3.14159 1.06814 0.000548942
-3.14159 1.13097 0
-3.14159 1.19381 0
-3.14159 1.25664 0
-3.14159 1.31947 0
-3.14159 1.3823 0.000333465
-3.14159 1.44513 0.000485807
-3.14159 1.50796 0.000230875
-3.14159 1.5708 0
-3.14159 1.63363 0
-3.14159 1.69646 0
-3.14159 1.75929 9.09803e-05
-3.14159 1.82212 0.000367693
-3.14159 1.88496 0.000316544
-3.14159 1.94779 0
-3.14159 2.01062 0
-3.14159 2.07345 0
-3.14159 2.13628 0
-3.14159 2.19911 0.000320005
-3.14159 2.26195 0.000459772
-3.14159 2.32478 0.000202311
-3.14159 2.38761 0
-3.14159 2.45044 0
-3.14159 2.51327 0
-3.14159 2.57611 0.000132272
-3.14159 2.63894 0.000623712
-3.14159 2.70177 0.000650614
-3.14159 2.7646 0.000124591
-3.14159 2.82743 0
-3.14159 2.89027 0
-3.14159 2.9531 0
-3.14159 3.01593 0.000367546
-3.14159 3.07876 0.00112079
-3.07876 -3.14159 0.00209783
-3.07876 -3.07876 0
-3.07876 -3.01593 0
-3.07876 -2.9531 0
-3.07876 -2.89027 0
-3.07876 -2.82743 0.00270749
-3.07876 -2.7646 0.00625984
-3.07876 -2.70177 0.00705987
-3.07876 -2.63894 0.00481464
-3.07876 -2.57611 0.00146098
-3.07876 -2.51327 0
-3.07876 -2.45044 0.00131536
-3.07876 -2.38761 0.00495042
-3.07876 -2.32478 0.00758718
-3.07876 -2.26195 0.00629169
-3.07876 -2.19911 0.000691395
-3.07876 -2.13628 0
-3.07876 -2.07345 0
-3.07876 -2.01062 0
-3.07876 -1.94779 0.0175267
-3.07876 -1.88496 0.045922
-3.07876 -1.82212 0.0776436
-3.07876 -1.75929 0.104429
-3.07876 -1.69646 0.118516
-3.07876 -1.63363 0.114956
-3.07876 -1.5708 0.092986
-3.07876 -1.50796 0.0561164
-3.07876 -1.44513 0.0110117
-3.07876 -1.3823 0
-3.07876 -1.31947 0
-3.07876 -1.25664 0
-3.07876 -1.19381 0
-3.07876 -1.13097 0
-3.07876 -1.06814 0
-3.07876 -1.00531 0
-3.07876 -0.942478 0
-3.07876 -0.879646 0
-3.07876 -0.816814 0
-3.07876 -0.753982 0.000149963
-3.07876 -0.69115 0.00289645
-3.07876 -0.628319 0.0015478
-3.07876 -0.565487 0
-3.07876 -0.502655 0
-3.07876 -0.439823 0
-3.07876 -0.376991 0.000116833
-3.07876 -0.314159 0.00141525
-3.07876 -0.251327 0.0014866
-3.07876 -0.188496 0.000465196
-3.07876 -0.125664 0
-3.07876 -0.0628319 0
-3.07876 0 0
-3.07876 0.0628319 0.000215357
-3.07876 0.125664 0.000899933
-3.07876 0.188496 0.000826026
-3.07876 0.251327 0.000147543
