<<<<<<< HEAD
-3.14159 -3.14159 8.88147e-06
-3.14159 -3.07876 0
-3.14159 -3.01593 0
-3.14159 -2.9531 0
-3.14159 -2.89027 0
-3.14159 -2.82743 1.46239e-05
-3.14159 -2.7646 2.1449e-05
-3.14159 -2.70177 9.81099e-06
-3.14159 -2.63894 0
-3.14159 -2.57611 0
-3.14159 -2.51327 0
-3.14159 -2.45044 9.35627e-06
-3.14159 -2.38761 4.41185e-05
-3.14159 -2.32478 4.84826e-05
-3.14159 -2.26195 1.50171e-06
-3.14159 -2.19911 0
-3.14159 -2.13628 0
-3.14159 -2.07345 0
-3.14159 -2.01062 0
-3.14159 -1.94779 0
-3.14159 -1.88496 0
-3.14159 -1.82212 0
-3.14159 -1.75929 0
-3.14159 -1.69646 0
-3.14159 -1.63363 0
-3.14159 -1.5708 0
-3.14159 -1.50796 0
-3.14159 -1.44513 0
-3.14159 -1.3823 0.000134425
-3.14159 -1.31947 0.00032139
-3.14159 -1.25664 0.00046844
-3.14159 -1.19381 0.000583672
-3.14159 -1.13097 0.000671158
-3.14159 -1.06814 0.000718545
-3.14159 -1.00531 0.000702991
-3.14159 -0.942478 0.000610417
-3.14159 -0.879646 0.000452581
-3.14159 -0.816814 0.000268173
-3.14159 -0.753982 0.000106146
-3.14159 -0.69115 2.25119e-06
-3.14159 -0.628319 0
-3.14159 -0.565487 0
-3.14159 -0.502655 0
-3.14159 -0.439823 1.22509e-05
-3.14159 -0.376991 1.27213e-05
-3.14159 -0.314159 3.3914e-06
-3.14159 -0.251327 0
-3.14159 -0.188496 0
-3.14159 -0.125664 0
-3.14159 -0.0628319 2.43882e-06
-3.14159 0 4.46835e-06
-3.14159 0.0628319 2.52293e-06
-3.14159 0.125664 0
-3.14159 0.188496 0
-3.14159 0.251327 0
-3.14159 0.314159 0
-3.14159 0.376991 1.92506e-06
-3.14159 0.439823 2.17426e-06
-3.14159 0.502655 8.09705e-07
-3.14159 0.565487 0
-3.14159 0.628319 0
-3.14159 0.69115 0
-3.14159 0.753982 1.92751e-08
-3.14159 0.816814 1.2865e-06
-3.14159 0.879646 1.61579e-06
-3.14159 0.942478 8.42435e-07
-3.14159 1.00531 0
-3.14159 1.06814 0
-3.14159 1.13097 0
-3.14159 1.19381 0
-3.14159 1.25664 9.98307e-07
-3.14159 1.31947 1.864e-06
-3.14159 1.3823 1.44598e-06
-3.14159 1.44513 0
-3.14159 1.50796 0
-3.14159 1.5708 0
-3.14159 1.63363 0
-3.14159 1.69646 1.12603e-06
-3.14159 1.75929 2.78357e-06
-3.14159 1.82212 2.45829e-06
-3.14159 1.88496 1.01738e-07
-3.14159 1.94779 0
-3.14159 2.01062 0
-3.14159 2.07345 0
-3.14159 2.13628 1.8179e-06
-3.14159 2.19911 4.57114e-06
-3.14159 2.26195 3.97251e-06
-3.14159 2.32478 0
-3.14159 2.38761 0
-3.14159 2.45044 0
-3.14159 2.51327 0
-3.14159 2.57611 3.45402e-06
-3.14159 2.63894 7.69143e-06
-3.14159 2.70177 6.13744e-06
-3.14159 2.7646 0
-3.14159 2.82743 0
-3.14159 2.89027 0
-3.14159 2.9531 0
-3.14159 3.01593 6.921e-06
-3.14159 3.07876 1.29495e-05
-3.07876 -3.14159 6.65158e-06
-3.07876 -3.07876 0
-3.07876 -3.01593 0
-3.07876 -2.9531 0
-3.07876 -2.89027 0
-3.07876 -2.82743 1.09876e-05
-3.07876 -2.7646 1.69446e-05
-3.07876 -2.70177 8.63186e-06
-3.07876 -2.63894 0
-3.07876 -2.57611 0
-3.07876 -2.51327 0
-3.07876 -2.45044 2.01853e-06
-3.07876 -2.38761 4.36841e-05
