<<<<<<< HEAD
-3.14159 -3.14159 1.81466e-07
-3.14159 -3.07876 2.81968e-07
-3.14159 -3.01593 6.8728e-08
-3.14159 -2.9531 0
-3.14159 -2.89027 0
-3.14159 -2.82743 0
-3.14159 -2.7646 1.72799e-07
-3.14159 -2.70177 2.44957e-07
-3.14159 -2.63894 8.89487e-08
-3.14159 -2.57611 0
-3.14159 -2.51327 0
-3.14159 -2.45044 0
-3.14159 -2.38761 1.30347e-07
-3.14159 -2.32478 3.40379e-07
-3.14159 -2.26195 2.72127e-07
-3.14159 -2.19911 0
-3.14159 -2.13628 0
-3.14159 -2.07345 0
-3.14159 -2.01062 0
-3.14159 -1.94779 3.54562e-07
-3.14159 -1.88496 5.68914e-07
-3.14159 -1.82212 3.21458e-07
-3.14159 -1.75929 0
-3.14159 -1.69646 0
-3.14159 -1.63363 0
-3.14159 -1.5708 1.9213e-08
-3.14159 -1.50796 7.55348e-07
-3.14159 -1.44513 9.67776e-07
-3.14159 -1.3823 3.5015e-07
-3.14159 -1.31947 0
-3.14159 -1.25664 0
-3.14159 -1.19381 0
-3.14159 -1.13097 1.3585e-06
-3.14159 -1.06814 4.74533e-06
-3.14159 -1.00531 8.38133e-06
-3.14159 -0.942478 1.15026e-05
-3.14159 -0.879646 1.3958e-05
-3.14159 -0.816814 1.61591e-05
-3.14159 -0.753982 1.85748e-05
-3.14159 -0.69115 2.11988e-05
-3.14159 -0.628319 2.3459e-05
-3.14159 -0.565487 2.47074e-05
-3.14159 -0.502655 2.49487e-05
-3.14159 -0.439823 2.52245e-05
-3.14159 -0.376991 2.72629e-05
-3.14159 -0.314159 3.25174e-05
-3.14159 -0.251327 4.11763e-05
-3.14159 -0.188496 5.17825e-05
-3.14159 -0.125664 6.17181e-05
-3.14159 -0.0628319 6.82665e-05
-3.14159 0 6.96441e-05
-3.14159 0.0628319 6.54909e-05
-3.14159 0.125664 5.67002e-05
-3.14159 0.188496 4.4845e-05
-3.14159 0.251327 3.15949e-05
-3.14159 0.314159 1.83823e-05
-3.14159 0.376991 6.3365e-06
-3.14159 0.439823 0
-3.14159 0.502655 0
-3.14159 0.565487 0
-3.14159 0.628319 0
-3.14159 0.69115 0
-3.14159 0.753982 0
-3.14159 0.816814 0
-3.14159 0.879646 0
-3.14159 0.942478 0
-3.14159 1.00531 0
-3.14159 1.06814 0
-3.14159 1.13097 0
-3.14159 1.19381 0
-3.14159 1.25664 0
-3.14159 1.31947 0
-3.14159 1.3823 0
-3.14159 1.44513 0
-3.14159 1.50796 0
-3.14159 1.5708 0
-3.14159 1.63363 0
-3.14159 1.69646 0
-3.14159 1.75929 0
-3.14159 1.82212 0
-3.14159 1.88496 0
-3.14159 1.94779 0
-3.14159 2.01062 0
-3.14159 2.07345 0
-3.14159 2.13628 0
-3.14159 2.19911 0
-3.14159 2.26195 0
-3.14159 2.32478 0
-3.14159 2.38761 0
-3.14159 2.45044 0
-3.14159 2.51327 0
-3.14159 2.57611 0
-3.14159 2.63894 0
-3.14159 2.70177 0
-3.14159 2.7646 0
-3.14159 2.82743 0
-3.14159 2.89027 0
-3.14159 2.9531 0
-3.14159 3.01593 0
-3.14159 3.07876 0
-3.07876 -3.14159 0
-3.07876 -3.07876 0
-3.07876 -3.01593 0
-3.07876 -2.9531 1.11396e-07
-3.07876 -2.89027 6.07095e-07
-3.07876 -2.82743 5.42062e-07
-3.07876 -2.7646 7.90585e-08
-3.07876 -2.70177 0
-3.07876 -2.63894 0
-3.07876 -2.57611 0
-3.07876 -2.51327 1.78509e-07
-3.07876 -2.45044 3.63467e-07
-3.07876 -2.38761 2.46828e-07
-3.07876 -2.32478 0
-3.07876 -2.26195 0
-3.07876 -2.19911 0
-3.07876 -2.13628 0
-3.07876 -2.07345 1.60511e-07
-3.07876 -2.01062 2.15182e-07
-3.07876 -1.94779 9.29559e-08
-3.07876 -1.88496 0
-3.07876 -1.82212 0
-3.07876 -1.75929 0
-3.07876 -1.69646 3.89242e-08
-3.07876 -1.63363 1.26534e-07
-3.07876 -1.5708 9.08969e-08
-3.07876 -1.50796 0
-3.07876 -1.44513 0
-3.07876 -1.3823 0
-3.07876 -1.31947 1.25468e-08
-3.07876 -1.25664 1.30823e-08
-3.07876 -1.19381 0
-3.07876 -1.13097 1.69206e-07
-3.07876 -1.06814 1.08377e-06
-3.07876 -1.00531 3.11585e-06
-3.07876 -0.942478 6.27119e-06
-3.07876 -0.879646 1.00355e-05
-3.07876 -0.816814 1.35829e-05
-3.07876 -0.753982 1.6217e-05
-3.07876 -0.69115 1.77422e-05
-3.07876 -0.628319 1.84763e-05
-3.07876 -0.565487 1.88631e-05
-3.07876 -0.502655 1.89718e-05
-3.07876 -0.439823 1.82988e-05
-3.07876 -0.376991 1.61015e-05
-3.07876 -0.314159 1.20776e-05
-3.07876 -0.251327 6.88139e-06
-3.07876 -0.188496 2.01115e-06
-3.07876 -0.125664 0
-3.07876 -0.0628319 0
-3.07876 0 0
-3.07876 0.0628319 1.39585e-06
-3.07876 0.125664 1.35994e-06
-3.07876 0.188496 0
-3.07876 0.251327 0
-3.07876 0.314159 0
-3.07876 0.376991 0
-3.07876 0.439823 0
-3.07876 0.502655 0
-3.07876 0.565487 7.13008e-08
-3.07876 0.628319 9.97252e-07
-3.07876 0.69115 5.31497e-07
-3.07876 0.753982 0
-3.07876 0.816814 0
-3.07876 0.879646 0
-3.07876 0.942478 2.46052e-07
-3.07876 1.00531 1.69401e-06
-3.07876 1.06814 2.78551e-06
-3.07876 1.13097 3.15435e-06
-3.07876 1.19381 2.84211e-06
-3.07876 1.25664 2.1894e-06
-3.07876 1.31947 1.60263e-06
-3.07876 1.3823 1.33553e-06
-3.07876 1.44513 1.38575e-06
-3.07876 1.50796 1.54148e-06
-3.07876 1.5708 1.5423e-06
-3.07876 1.63363 1.26212e-06
-3.07876 1.69646 8.02087e-07
-3.07876 1.75929 4.2526e-07
-3.07876 1.82212 3.63702e-07
-3.07876 1.88496 6.28073e-07
-3.07876 1.94779 9.71399e-07
-3.07876 2.01062 1.06528e-06
-3.07876 2.07345 7.87236e-07
-3.07876 2.13628 4.08053e-07
-3.07876 2.19911 5.07193e-07
-3.07876 2.26195 1.62788e-06
-3.07876 2.32478 3.88703e-06
-3.07876 2.38761 6.81919e-06
-3.07876 2.45044 9.5906e-06
-3.07876 2.51327 1.14584e-05
-3.07876 2.57611 1.2165e-05
-3.07876 2.63894 1.19962e-05
-3.07876 2.70177 1.1472e-05
-3.07876 2.7646 1.09124e-05
-3.07876 2.82743 1.02073e-05
-3.07876 2.89027 8.96314e-06
-3.07876 2.9531 6.90514e-06
-3.07876 3.01593 4.21891e-06
-3.07876 3.07876 1.55548e-06
-3.01593 -3.14159 0
-3.01593 -3.07876 0
-3.01593 -3.01593 0
-3.01593 -2.9531 3.44005e-07
-3.01593 -2.89027 9.77041e-07
-3.01593 -2.82743 6.92299e-07
-3.01593 -2.7646 0
-3.01593 -2.70177 0
-3.01593 -2.63894 0
-3.01593 -2.57611 0
-3.01593 -2.51327 5.53184e-07
-3.01593 -2.45044 6.11502e-07
-3.01593 -2.38761 1.26636e-07
-3.01593 -2.32478 0
-3.01593 -2.26195 0
-3.01593 -2.19911 0
-3.01593 -2.13628 3.95776e-07
-3.01593 -2.07345 6.86499e-07
-3.01593 -2.01062 3.66188e-07
-3.01593 -1.94779 0
-3.01593 -1.88496 0
-3.01593 -1.82212 0
-3.01593 -1.75929 1.774e-07
-3.01593 -1.69646 8.81138e-07
-3.01593 -1.63363 8.84326e-07
-3.01593 -1.5708 8.2134e-08
-3.01593 -1.50796 0
-3.01593 -1.44513 0
-3.01593 -1.3823 0
-3.01593 -1.31947 9.01899e-07
-3.01593 -1.25664 1.73206e-06
-3.01593 -1.19381 9.96102e-07
-3.01593 -1.13097 0
-3.01593 -1.06814 0
-3.01593 -1.00531 0
-3.01593 -0.942478 0
-3.01593 -0.879646 0
-3.01593 -0.816814 0
-3.01593 -0.753982 0
-3.01593 -0.69115 0
-3.01593 -0.628319 0
-3.01593 -0.565487 0
-3.01593 -0.502655 0
-3.01593 -0.439823 0
-3.01593 -0.376991 0
-3.01593 -0.314159 0
-3.01593 -0.251327 0
-3.01593 -0.188496 0
-3.01593 -0.125664 0
-3.01593 -0.0628319 0
-3.01593 0 0
-3.01593 0.0628319 0
-3.01593 0.125664 0
-3.01593 0.188496 0
-3.01593 0.251327 0
-3.01593 0.314159 0
-3.01593 0.376991 0
