#! FIELDS time phi psi ttsketch.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 0.000000 -1.361480 0.852932 0.000000
 0.200000 -1.322214 0.716590 0.000000
 0.400000 -1.376306 0.850245 0.000000
 0.600000 -1.430346 1.019644 0.000000
 0.800000 -1.206935 0.884019 0.000000
 1.000000 -1.520134 1.257248 0.000000
 1.200000 -1.591597 1.109234 0.000000
 1.400000 -1.416744 0.921929 0.000000
 1.600000 -1.289025 0.848041 0.000000
 1.800000 -1.521049 0.865382 0.000000
 2.000000 -1.159778 1.077125 0.000000
 2.200000 -1.728748 0.970233 0.000000
 2.400000 -1.929366 0.712645 0.000000
 2.600000 -1.289470 0.486624 0.000000
 2.800000 -1.344202 0.484958 0.000000
 3.000000 -1.312868 0.881518 0.000000
 3.200000 -1.283368 0.977398 0.000000
 3.400000 -1.438680 1.002450 0.000000
 3.600000 -1.317401 0.922814 0.000000
 3.800000 -1.439250 0.412922 0.000000
 4.000000 -1.657160 0.009005 0.000000
 4.200000 -1.571867 0.013908 0.000000
 4.400000 -0.872222 -0.358104 0.000000
 4.600000 -1.365755 0.622260 0.000000
 4.800000 -1.491914 0.480131 0.000000
 5.000000 -1.437944 1.003469 0.000000
 5.200000 -1.388771 1.139725 0.000000
 5.400000 -1.299034 0.726214 0.000000
 5.600000 -1.370812 0.509538 0.000000
 5.800000 -0.958320 0.448445 0.000000
 6.000000 -1.489164 0.288351 0.000000
 6.200000 -1.123287 0.279429 0.000000
 6.400000 -1.441858 0.893964 0.000000
 6.600000 -1.564228 1.452559 0.000000
 6.800000 -1.200088 1.152590 0.000000
 7.000000 -1.287158 0.457432 0.000000
 7.200000 -1.535268 0.660502 0.000000
 7.400000 -1.573617 1.014161 0.000000
 7.600000 -1.551056 0.922049 0.000000
 7.800000 -1.588241 0.483887 0.000000
 8.000000 -1.244699 -0.115286 0.000000
 8.200000 -1.017831 -0.037640 0.000000
 8.400000 -1.051851 -0.322912 0.000000
 8.600000 -1.068601 -0.067060 0.000000
 8.800000 -1.671516 0.233252 0.000000
 9.000000 -1.546900 0.943374 0.000000
 9.200000 -1.227149 0.985080 0.000000
 9.400000 -1.265763 1.445395 0.000000
 9.600000 -1.143088 1.095311 0.000000
 9.800000 -1.515704 0.908940 0.000000
 10.000000 -1.583968 0.819565 0.000000
 10.200000 -1.509233 0.885114 0.000000
 10.400000 -1.487486 0.832159 0.000000
 10.600001 -1.176857 0.378694 0.000000
 10.800001 -1.306497 0.637714 0.000000
 11.000001 -1.437508 1.036068 0.000000
 11.200001 -1.371865 1.448433 0.000000
 11.400001 -1.417518 1.264282 0.000000
 11.600001 -1.064604 0.710917 0.000000
 11.800001 -1.436149 0.611081 0.000000
 12.000001 -1.172909 0.715120 0.000000
 12.200001 -1.180944 0.972807 0.000000
 12.400001 -1.320736 1.482898 0.000000
 12.600001 -1.255286 1.356227 0.000000
 12.800001 -1.339496 1.076826 0.000000
 13.000001 -1.181016 0.768622 0.000000
 13.200001 -1.539479 1.034735 0.000000
 13.400001 -1.098253 0.957703 0.000000
 13.600001 -1.070322 1.417409 0.000000
 13.800001 -1.450046 1.253838 0.000000
 14.000001 -1.316385 0.754555 0.000000
 14.200001 -1.399729 0.840874 0.000000
 14.400001 -1.344343 0.898692 0.000000
 14.600001 -1.482011 1.519576 0.000000
 14.800001 -1.425126 1.525927 0.000000
 15.000001 -1.399541 1.178987 0.000000
 15.200001 -1.334146 0.613028 0.000000
 15.400001 -1.304675 1.025605 0.000000
 15.600001 -1.333953 1.453857 0.000000
 15.800001 -1.531795 1.195812 0.000000
 16.000001 -1.307883 0.929285 0.000000
 16.200001 -1.554814 1.186750 0.000000
 16.400001 -1.242388 0.947896 0.000000
 16.600001 -1.443399 0.745688 0.000000
 16.800001 -1.507206 0.631626 0.000000
 17.000001 -1.521193 0.958762 0.000000
 17.200001 -1.663447 1.494151 0.000000
 17.400001 -1.036328 1.232163 0.000000
 17.600001 -1.655111 1.264892 0.000000
 17.800001 -1.199600 1.241221 0.000000
 18.000001 -1.437595 1.084129 0.000000
 18.200001 -1.225317 0.792228 0.000000
 18.400001 -1.507106 0.906604 0.000000
 18.600001 -1.252930 0.276113 0.000000
 18.800001 -1.525852 0.444990 0.000000
 19.000001 -1.885667 1.022983 0.000000
 19.200001 -1.091044 0.441637 0.000000
 19.400001 -1.578662 0.142615 0.000000
 19.600001 -1.277806 1.208169 0.000000
 19.800001 -1.643240 2.014969 0.000000
 20.000001 -1.911906 2.426017 0.000000
 20.200001 -2.546941 2.362981 0.000000
 20.400001 -2.634657 2.459596 0.000000
 20.600001 -2.518293 2.314465 0.000000
 20.800001 -2.317922 2.767094 0.000000
 21.000001 -2.731941 2.774860 0.000000
 21.200001 -2.713052 2.840999 0.000000
 21.400001 -2.355585 -3.058935 0.000000
 21.600001 -2.681565 2.782440 0.000000
 21.800001 -2.578859 2.579317 0.000000
 22.000001 -2.595559 2.698713 0.000000
 22.200001 -2.511008 2.546458 0.000000
 22.400001 -2.619174 2.618927 0.000000
 22.600001 -2.497985 2.756489 0.000000
 22.800001 -2.865261 -3.130287 0.000000
 23.000001 -2.614357 2.679130 0.000000
 23.200001 -2.440831 2.236536 0.000000
 23.400001 -2.314950 2.510923 0.000000
 23.600001 -2.289283 2.933336 0.000000
 23.800001 -2.527450 2.918461 0.000000
 24.000001 -2.618675 2.982526 0.000000
 24.200001 -2.678037 2.798484 0.000000
 24.400001 -2.884467 2.668791 0.000000
 24.600001 -2.656354 2.383958 0.000000
 24.800001 -2.145765 2.703694 0.000000
 25.000001 -2.461995 3.124793 0.000000
 25.200001 -2.691286 -3.053218 0.000000
