<<<<<<< HEAD
-3.14159 -3.14159 1.842e-07
-3.14159 -3.07876 3.91459e-07
-3.14159 -3.01593 2.90501e-07
-3.14159 -2.9531 4.95631e-09
-3.14159 -2.89027 0
-3.14159 -2.82743 0
-3.14159 -2.7646 0
-3.14159 -2.70177 8.73126e-08
-3.14159 -2.63894 2.45964e-07
-3.14159 -2.57611 2.32964e-07
-3.14159 -2.51327 6.80874e-08
-3.14159 -2.45044 0
-3.14159 -2.38761 0
-3.14159 -2.32478 0
-3.14159 -2.26195 0
-3.14159 -2.19911 1.96268e-07
-3.14159 -2.13628 2.81319e-07
-3.14159 -2.07345 1.73669e-07
-3.14159 -2.01062 0
-3.14159 -1.94779 0
-3.14159 -1.88496 0
-3.14159 -1.82212 0
-3.14159 -1.75929 2.14314e-07
-3.14159 -1.69646 4.262e-07
-3.14159 -1.63363 3.39697e-07
-3.14159 -1.5708 0
-3.14159 -1.50796 0
-3.14159 -1.44513 0
-3.14159 -1.3823 0
-3.14159 -1.31947 2.81726e-07
-3.14159 -1.25664 7.77988e-07
-3.14159 -1.19381 8.50474e-07
-3.14159 -1.13097 3.98224e-07
-3.14159 -1.06814 0
-3.14159 -1.00531 0
-3.14159 -0.942478 0
-3.14159 -0.879646 0
-3.14159 -0.816814 0
-3.14159 -0.753982 0
-3.14159 -0.69115 0
-3.14159 -0.628319 0
-3.14159 -0.565487 0
-3.14159 -0.502655 0
-3.14159 -0.439823 2.12056e-06
-3.14159 -0.376991 5.12261e-06
-3.14159 -0.314159 5.20573e-06
-3.14159 -0.251327 1.80558e-06
-3.14159 -0.188496 0
-3.14159 -0.125664 0
-3.14159 -0.0628319 0
-3.14159 0 0
-3.14159 0.0628319 0
-3.14159 0.125664 0
-3.14159 0.188496 0
-3.14159 0.251327 0
-3.14159 0.314159 0
-3.14159 0.376991 0
-3.14159 0.439823 0
-3.14159 0.502655 0
-3.14159 0.565487 0
-3.14159 0.628319 0
-3.14159 0.69115 0
-3.14159 0.753982 0
-3.14159 0.816814 0
-3.14159 0.879646 0
-3.14159 0.942478 0
-3.14159 1.00531 0
-3.14159 1.06814 0
-3.14159 1.13097 0
-3.14159 1.19381 0
-3.14159 1.25664 0
-3.14159 1.31947 0
-3.14159 1.3823 0
-3.14159 1.44513 0
-3.14159 1.50796 0
-3.14159 1.5708 0
-3.14159 1.63363 0
-3.14159 1.69646 0
-3.14159 1.75929 0
-3.14159 1.82212 0
-3.14159 1.88496 0
