0.0499000000000004 [1.8123680978297514, 2.916361228349341] 1.2
0.09990000000000183 [1.8079661498033874, 2.663609987245408] 1.1323708157649306
0.1498999999999998 [1.717032204420519, 3.0956866319432956] 1.0869497348638928
0.1998999999999943 [1.6940562888035977, 2.7972311374467336] 0.9141248371586225
0.2498999999999888 [1.5066794515926798, 2.9598771084760394] 1.0498733110451421
0.2998999999999833 [1.6620309927138406, 2.531662208408228] 1.042418453266771
0.3498999999999778 [1.487072258292467, 3.0093216727031233] 0.8879537512969641
0.3998999999999723 [1.5646942814951592, 2.7094936394454416] 0.8492030658158044
0.44989999999996677 [1.6707279390432679, 2.3931740990078145] 0.9974982068745111
0.49989999999996126 [1.3243855849315713, 2.609353643950443] 1.116889667657983
0.5498999999999558 [1.3836706621769035, 2.256906712028779] 1.1504184773344424
0.5998999999999503 [1.3100595433031534, 2.4999105156037658] 0.9209835034496283
0.6498999999999447 [1.6781761028712279, 2.5929741814188034] 0.6416417292035942
0.6998999999999392 [1.9868058111847198, 2.764366966687484] 0.9717346414778911
0.7498999999999337 [2.06270443487801, 2.8500746616117953] 0.9450045733887564
0.7998999999999282 [1.7207208116874015, 2.7621037183201427] 0.542301765251222
0.8498999999999227 [1.9145538134025433, 3.0444692791437227] 0.8553555735238095
0.8998999999999172 [1.6721726830609265, 2.603711356701819] 0.5210667146678057
0.9498999999999117 [1.928698545305282, 2.5568857434272587] 0.8170844749706802
0.9998999999999062 [1.791647332036579, 2.329124207893976] 0.8988845655169467
1.0498999999999008 [2.0557226391547245, 2.3319946223432675] 1.0908675863377224
1.0998999999998953 [1.486001365601201, 2.5823914588956014] 0.6261625708295862
1.1498999999998898 [1.5443346873208172, 2.842327868260596] 0.5836980600077177
1.1998999999998843 [1.445363477432254, 2.98959263918458] 0.7103410016532109
1.2498999999998788 [1.7618975670958816, 2.9162496922005556] 0.4971417857006685
1.2998999999998733 [1.719857996702266, 2.5606065561545046] 0.42831580415567294
1.3498999999998678 [1.5710681916845113, 2.9099115953904384] 0.4617229811242372
1.3998999999998623 [1.4961394767344807, 2.614943078235336] 0.49886051664852404
1.4498999999998567 [1.2490192151388775, 2.6088500961751655] 0.7744308018231508
1.4998999999998512 [1.4201531942858145, 2.874388197359541] 0.572552522755168
1.5498999999998457 [1.218094831968584, 2.867140252350023] 0.9396886594854924
1.5998999999998402 [1.6723477539072098, 2.644485651691762] 0.33694464874763463
