#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 0.000000 -1.361480 0.852932 0.000000
 0.020000 -1.294297 0.767592 0.000000
 0.040000 -1.451497 0.918467 0.000000
 0.060000 -1.369283 0.742117 0.000000
 0.080000 -1.392522 0.795560 0.000000
 0.100000 -1.447546 0.904303 0.000000
 0.120000 -1.476866 0.722678 0.000000
 0.140000 -1.293009 0.708075 0.000000
 0.160000 -1.398308 0.758502 0.000000
 0.180000 -1.392795 0.680327 0.000000
 0.200000 -1.322199 0.716604 0.000000
 0.220000 -1.237113 0.572050 0.000000
 0.240000 -1.486246 0.826202 0.000000
 0.260000 -1.401715 0.667104 0.000000
 0.280000 -1.475566 0.620269 0.000000
 0.300000 -1.599848 0.802992 0.000000
 0.320000 -1.461436 0.637259 0.000000
 0.340000 -1.469387 0.668951 0.000000
 0.360000 -1.378008 0.810088 0.000000
 0.380000 -1.407579 0.855904 0.000000
 0.400000 -1.376334 0.850280 0.000000
 0.420000 -1.228961 0.744558 0.000000
 0.440000 -1.244813 0.783013 0.000000
 0.460000 -1.293374 0.856533 0.000000
 0.480000 -1.321903 0.865274 0.000000
 0.500000 -1.301197 0.992802 0.000000
 0.520000 -1.433318 1.014577 0.000000
 0.540000 -1.350269 0.968537 0.000000
 0.560000 -1.352507 1.061850 0.000000
 0.580000 -1.275963 1.094229 0.000000
 0.600000 -1.430400 1.019626 0.000000
 0.620000 -1.418507 0.932699 0.000000
 0.640000 -1.435969 1.025556 0.000000
 0.660000 -1.485857 0.961155 0.000000
 0.680000 -1.361672 0.967530 0.000000
 0.700000 -1.425512 0.852038 0.000000
 0.720000 -1.428755 1.000250 0.000000
 0.740000 -1.516172 1.204941 0.000000
 0.760000 -1.403562 1.005056 0.000000
 0.780000 -1.339576 1.207199 0.000000
 0.800000 -1.206940 0.884027 0.000000
 0.820000 -1.216552 1.046219 0.000000
 0.840000 -1.149158 0.889220 0.000000
 0.860000 -1.060729 0.786271 0.000000
 0.880000 -1.193392 0.998415 0.000000
 0.900000 -1.280337 0.878218 0.000000
 0.920000 -1.271896 0.962045 0.000000
 0.940000 -1.319115 1.092104 0.000000
 0.960000 -1.447977 1.119350 0.000000
 0.980000 -1.544231 1.284422 0.000000
 1.000000 -1.520199 1.257295 0.000000
 1.020000 -1.477336 1.323815 1.182446
 1.040000 -1.450506 1.285692 1.154175
 1.060000 -1.285248 1.329382 0.770769
 1.080000 -1.063181 1.189335 0.223808
 1.100000 -1.214986 1.201182 0.568331
 1.120000 -1.200974 1.144577 0.529747
 1.140000 -1.236748 1.057069 0.629912
 1.160000 -1.473236 1.000424 1.178959
 1.180000 -1.434618 1.143570 1.131572
 1.200000 -1.582470 1.113049 1.163267
 1.220000 -1.604749 1.051870 1.133165
 1.240000 -1.610907 0.934419 1.123401
 1.260000 -1.594195 0.986314 1.148471
 1.280000 -1.552633 0.818479 1.189921
 1.300000 -1.524253 0.829131 1.199828
 1.320000 -1.335386 0.861771 0.912529
 1.340000 -1.419591 0.925980 1.106469
 1.360000 -1.366661 0.932735 0.993347
 1.380000 -1.655304 1.097454 1.036646
 1.400000 -1.421962 0.923269 1.110658
 1.420000 -1.400502 0.944616 1.069793
 1.440000 -1.230242 0.828723 0.611325
 1.460000 -1.186987 0.908491 0.492291
 1.480000 -1.077355 0.784289 0.248099
 1.500000 -1.228796 0.845947 0.607211
 1.520000 -1.187096 0.708537 0.492579
 1.540000 -1.378829 0.898612 1.022343
 1.560000 -1.369643 0.855759 1.000595
 1.580000 -1.282216 0.715655 0.761953
 1.600000 -1.262918 0.837586 0.705696
 1.620000 -1.149886 0.693866 0.399078
 1.640000 -1.371887 0.863470 1.005991
 1.660000 -1.437099 0.939117 1.135375
 1.680000 -1.495524 0.988816 1.194158
 1.700000 -1.516081 1.003376 1.199823
 1.720000 -1.505945 1.185216 1.198041
 1.740000 -1.589119 1.067834 1.155167
 1.760000 -1.478441 0.927844 1.183333
 1.780000 -1.553821 0.855974 1.189172
 1.800000 -1.528050 0.863548 1.199395
 1.820000 -1.493420 0.918548 1.193121
 1.840000 -1.471013 0.805421 1.176940
 1.860000 -1.431342 0.857368 1.126398
 1.880000 -1.489706 0.885596 1.191087
 1.900000 -1.316181 0.842449 0.859477
 1.920000 -1.301173 0.847439 0.816798
 1.940000 -1.288794 0.925570 0.781063
 1.960000 -1.186157 1.021099 0.490104
 1.980000 -1.244751 1.026367 0.652942
 2.000000 -1.136505 1.070399 0.367955
 2.020000 -1.274709 1.022247 1.739773
 2.040000 -1.109262 0.881184 1.467271
 2.060000 -1.233813 1.017905 1.701455
 2.080000 -1.152563 0.760290 1.568178
 2.100000 -1.323694 0.815816 1.760219
 2.120000 -1.480031 0.810447 1.636471
 2.140000 -1.567646 0.767881 1.440147
 2.160000 -1.724681 0.924583 0.929246
 2.180000 -1.839717 0.681696 0.549043
 2.200000 -1.765823 0.974689 0.786555
 2.220000 -1.798425 0.744676 0.677748
 2.240000 -2.021298 0.921125 0.159153
 2.260000 -1.983123 0.749468 0.215710
 2.280000 -2.146180 0.723893 0.049989
 2.300000 -1.965660 0.802716 0.246003
 2.320000 -1.917933 0.608032 0.343416
 2.340000 -1.926191 0.724983 0.325007
 2.360000 -1.858759 0.542984 0.494006
 2.380000 -2.067329 0.747466 0.107321
 2.400000 -2.083435 0.716498 0.092704
 2.420000 -1.904374 0.611284 0.375049
 2.440000 -1.939592 0.765801 0.296517
 2.460000 -1.950160 0.811764 0.275261
 2.480000 -1.942188 0.761251 0.291195
 2.500000 -1.941881 0.687835 0.291823
 2.520000 -1.803901 0.596964 0.660027
 2.540000 -1.931003 0.709116 0.314579
 2.560000 -1.735637 0.664026 0.890903
 2.580000 -1.616631 0.439506 1.296170
 2.600000 -1.690136 0.461937 1.050257
 2.620000 -1.428573 0.420893 1.709618
 2.640000 -1.775866 0.322056 0.752504
 2.660000 -1.823515 0.368781 0.598127
 2.680000 -1.812595 0.325673 0.632276
 2.700000 -1.634505 0.283851 1.238944
 2.720000 -1.795158 0.389884 0.688405
 2.740000 -1.544902 0.229983 1.499308
 2.760000 -1.586478 0.416399 1.387291
 2.780000 -1.824397 0.245136 0.595403
 2.800000 -1.543090 0.239820 1.503786
 2.820000 -1.697714 0.269427 1.023798
 2.840000 -1.484663 0.162825 1.628315
 2.860000 -1.355998 0.153849 1.758476
 2.880000 -1.229284 0.231191 1.696020
 2.900000 -1.158268 0.166205 1.579974
 2.920000 -1.262060 0.278385 1.729988
 2.940000 -1.268145 0.300392 1.734926
 2.960000 -1.056599 0.246533 1.320081
 2.980000 -0.985813 0.356162 1.091290
 3.000000 -1.156535 0.366900 1.576429
 3.020000 -1.201036 0.495987 2.697638
 3.040000 -1.373516 0.553103 2.477405
 3.060000 -1.589881 0.536836 1.611219
 3.080000 -1.693498 0.684694 1.142014
 3.100000 -1.805629 0.726500 0.688845
 3.120000 -1.698117 0.710082 1.121745
 3.140000 -1.642707 0.917455 1.369889
 3.160000 -1.461450 0.825762 2.168173
 3.180000 -1.429585 0.717651 2.290016
 3.200000 -1.380483 0.870754 2.456340
 3.220000 -1.378147 0.872008 2.463483
 3.240000 -1.234488 0.881748 2.709476
 3.260000 -1.212841 1.008843 2.705268
 3.280000 -1.356708 0.874408 2.525227
 3.300000 -1.301049 1.189182 2.648701
 3.320000 -1.269308 1.008965 2.690830
 3.340000 -1.195561 0.984585 2.692792
 3.360000 -1.177259 0.988608 2.670502
 3.380000 -1.409826 0.903212 2.360434
 3.400000 -1.367940 0.982963 2.493752
 3.420000 -1.179985 0.915629 2.674416
 3.440000 -1.270151 0.980820 2.690008
 3.460000 -1.444834 1.160295 2.232880
 3.480000 -1.483140 0.964508 2.080333
 3.500000 -1.478835 1.061773 2.098048
