#! FIELDS phi3 file.free der_phi3
#! SET min_phi3 -pi
#! SET max_phi3 pi
#! SET nbins_phi3  500
#! SET periodic_phi3 true
   -3.141592654   45.456998307    3.183240196
   -3.129026283   45.502681432    4.093155582
   -3.116459912   45.559599967    4.978627530
   -3.103893542   45.628002496    5.894265741
   -3.091327171   45.707804412    6.786969903
   -3.078760801   45.798794286    7.704832192
   -3.066194430   45.901100769    8.591146860
   -3.053628059   46.014567774    9.473468270
   -3.041061689   46.138864418   10.288796999
   -3.028495318   46.273860497   11.194073912
   -3.015928947   46.419921891   12.063225114
   -3.003362577   46.576966768   12.924930181
   -2.990796206   46.744589852   13.741582764
   -2.978229836   46.922509980   14.570118124
   -2.965663465   47.110422115   15.316276552
   -2.953097094   47.307411100   16.026658044
   -2.940530724   47.513302284   16.724466513
   -2.927964353   47.727464839   17.376134654
   -2.915397983   47.949672567   18.002255125
   -2.902831612   48.179992385   18.650056443
   -2.890265241   48.417717310   19.189038326
   -2.877698871   48.662339764   19.726999144
   -2.865132500   48.913142680   20.201680309
   -2.852566129   49.169570752   20.609484731
   -2.839999759   49.431180142   21.022965435
   -2.827433388   49.697776473   21.403678140
   -2.814867018   49.968310678   21.644018819
   -2.802300647   50.241792329   21.888141017
   -2.789734276   50.518061379   22.066473871
   -2.777167906   50.796523702   22.225592610
   -2.764601535   51.076618843   22.309254847
   -2.752035165   51.357174045   22.333875767
   -2.739468794   51.638200593   22.381360791
   -2.726902423   51.919420241   22.361817789
   -2.714336053   52.200056613   22.299844970
   -2.701769682   52.479758759   22.196544368
   -2.689203311   52.757547563   21.998774890
   -2.676636941   53.032232108   21.733227294
   -2.664070570   53.303731192   21.469134199
   -2.651504200   53.571203036   21.082518956
   -2.638937829   53.833327476   20.634655821
   -2.626371458   54.089310920   20.122005340
   -2.613805088   54.338381206   19.528123428
   -2.601238717   54.579876159   18.888340575
   -2.588672347   54.812846449   18.171817288
   -2.576105976   55.036503019   17.404843130
   -2.563539605   55.249883393   16.556993177
   -2.550973235   55.452051008   15.567988718
   -2.538406864   55.641465422   14.560452954
   -2.525840493   55.817549344   13.444674183
   -2.513274123   55.978522238   12.169712637
   -2.500707752   56.123111085   10.852729392
   -2.488141382   56.250880006    9.443868199
   -2.475575011   56.360028831    7.878545813
   -2.463008640   56.448792897    6.244720063
   -2.450442270   56.516708155    4.534009988
   -2.437875899   56.562295808    2.699053999
   -2.425309529   56.584478476    0.826785424
   -2.412743158   56.582606041   -1.142340781
   -2.400176787   56.555271054   -3.217579815
   -2.387610417   56.501016250   -5.383355963
   -2.375044046   56.419449982   -7.611468539
   -2.362477675   56.309695876   -9.858348605
   -2.349911305   56.171440944  -12.154315157
   -2.337344934   56.003553723  -14.565765828
   -2.324778564   55.805486005  -16.956032539
   -2.312212193   55.577111225  -19.401083079
   -2.299645822   55.318161091  -21.824055627
   -2.287079452   55.028229950  -24.313547935
   -2.274513081   54.707542506  -26.724908735
   -2.261946711   54.356452703  -29.139593481
   -2.249380340   53.975449095  -31.490742066
   -2.236813969   53.564813672  -33.841546237
   -2.224247599   53.125456981  -36.084383354
   -2.211681228   52.658114630  -38.270991660
   -2.199114858   52.163662351  -40.386904703
   -2.186548487   51.643097978  -42.448220527
   -2.173982116   51.097593222  -44.365561034
   -2.161415746   50.528749629  -46.167078079
   -2.148849375   49.938036625  -47.848063282
   -2.136283004   49.326791992  -49.410404781
   -2.123716634   48.696465868  -50.865047023
   -2.111150263   48.048881850  -52.175131929
   -2.098583893   47.385426916  -53.388511608
   -2.086017522   46.707862137  -54.440606673
   -2.073451151   46.017409881  -55.421748571
   -2.060884781   45.315752186  -56.234345826
   -2.048318410   44.604472507  -56.959880868
   -2.035752040   43.884464628  -57.603835950
   -2.023185669   43.157217826  -58.137910474
   -2.010619298   42.423750574  -58.587926533
   -1.998052928   41.684889421  -58.970510603
   -1.985486557   40.941754167  -59.303618885
   -1.972920186   40.195295649  -59.499101351
   -1.960353816   39.446629896  -59.645377705
   -1.947787445   38.696622909  -59.726683526
   -1.935221075   37.945427474  -59.836116878
   -1.922654704   37.193049678  -59.894911995
   -1.910088333   36.440268960  -59.917119151
   -1.897521963   35.686981709  -59.951159323
   -1.884955592   34.933613738  -59.934756089
   -1.872389222   34.180291538  -59.965622120
   -1.859822851   33.426736588  -59.947804877
   -1.847256480   32.673440819  -59.924138035
   -1.834690110   31.920270484  -59.929449219
   -1.822123739   31.166926876  -59.946706094
   -1.809557368   30.413756377  -59.928185597
   -1.796990998   29.660660487  -59.964571066
   -1.784424627   28.906936367  -60.011170597
   -1.771858257   28.152467061  -60.045055126
   -1.759291886   27.397687964  -60.081807873
   -1.746725515   26.642694697  -60.095887326
   -1.734159145   25.887124559  -60.148953716
   -1.721592774   25.131441523  -60.118627713
   -1.709026404   24.376047442  -60.105948244
   -1.696460033   23.620981767  -60.064384372
   -1.683893662   22.866502458  -60.030468128
   -1.671327292   22.112789473  -59.906787752
   -1.658760921   21.360730949  -59.782325905
   -1.646194550   20.610772953  -59.574431315
   -1.633628180   19.863333523  -59.359889110
   -1.621061809   19.119251236  -59.066685084
   -1.608495439   18.379194464  -58.727542716
   -1.595929068   17.643702002  -58.341940667
   -1.583362697   16.913418728  -57.890020182
   -1.570796327   16.188986461  -57.410228831
   -1.558229956   15.471043328  -56.830258820
   -1.545663586   14.761090184  -56.148769139
   -1.533097215   14.060122315  -55.396285476
   -1.520530844   13.368825027  -54.621263696
   -1.507964474   12.687635168  -53.776710572
   -1.495398103   12.017562187  -52.844745211
   -1.482831732   11.359689659  -51.858093238
   -1.470265362   10.714739890  -50.783869184
   -1.457698991   10.083414167  -49.686341686
   -1.445132621    9.466433037  -48.495054383
   -1.432566250    8.864699868  -47.256145037
   -1.419999879    8.278994110  -45.991828433
   -1.407433509    7.709014751  -44.715782961
   -1.394867138    7.155682740  -43.322961503
   -1.382300768    6.620343831  -41.880360983
   -1.369734397    6.103260578  -40.405836907
   -1.357168026    5.605166118  -38.864021850
   -1.344601656    5.126526046  -37.312137205
   -1.332035285    4.667536804  -35.728367720
   -1.319468915    4.228654900  -34.123240146
   -1.306902544    3.810302556  -32.466978427
   -1.294336173    3.412593398  -30.826617080
   -1.281769803    3.035736421  -29.159308817
   -1.269203432    2.680059750  -27.458487800
   -1.256637061    2.346012174  -25.707348405
   -1.244070691    2.034131352  -23.925961881
   -1.231504320    1.744638326  -22.148928160
   -1.218937950    1.477365954  -20.396994307
   -1.206371579    1.232263369  -18.632370482
   -1.193805208    1.009250932  -16.863472091
   -1.181238838    0.808048673  -15.125372208
   -1.168672467    0.629292256  -13.348374034
   -1.156106097    0.472849466  -11.569996979
